Course Hole,Avg Score,Avg O/U Par,Eagle,Birdie,Pars,Bogey,Dbl Bogey,Other,2017 Average,2018 rd 1,2018 rd 2,2018 rd 3,2018 rd 4,2018 Average
Plantation Course at Kapalua - 17,4.044,0.044,0,20,94,18,4,0,70.375,71.912,70.971,71.412,70.588,71.221
Stadium Course - 9,4.043,0.043,0,38,153,36,3,2,70.787,69.316,69.323,70.805,71.234,70.015
Stadium Course - 18,4.043,0.043,0,33,168,21,9,1,70.787,69.316,69.323,70.805,71.234,70.015
Pebble Beach GL - 16,4.043,0.043,0,30,162,38,1,0,71.801,70.699,71.161,71.994,72.053,71.389
TPC Scottsdale - 12,3.04,0.04,0,49,296,53,6,0,70.192,70.893,70.047,69.903,70.208,70.324
CC of Jackson - 17,4.039,0.039,0,58,286,55,8,1,71.058,71.542,71.654,72.12,72.333,71.828
Sea Island Resort (Plantation) - 5,4.039,0.039,0,29,94,29,3,0,69.184,69.761,70.297,68.466,69.425,69.682
Plantation Course at Kapalua - 4,4.037,0.037,0,18,97,19,2,0,70.375,71.912,70.971,71.412,70.588,71.221
Riviera CC - 16,3.037,0.037,0,69,287,75,5,0,71.012,72.203,72.135,70.605,71.382,71.759
Torrey Pines GC (South) - 1,4.035,0.035,0,46,210,51,3,0,72.268,71.462,72.09,72.208,74.779,72.343
TPC Scottsdale - 6,4.035,0.035,0,68,260,70,6,0,70.192,70.893,70.047,69.903,70.208,70.324
TPC Scottsdale - 18,4.035,0.035,0,76,252,64,11,1,70.192,70.893,70.047,69.903,70.208,70.324
La Quinta CC - 16,4.032,0.032,0,24,103,25,2,0,70.787,69.316,69.323,70.805,71.234,70.015
